
Histogram of unique 21-mers of sanger_newton_drMalDome6.R1

  Input: 5,040,376,329 unique 21-mers

     Freq:        Count   Cum. %
      740:        11678     0.1%
      739:        11430     0.1%
      738:        11523     0.1%
      737:        11606     0.1%
      736:        11951     0.1%
      735:        11655     0.1%
      734:        11900     0.1%
      733:        11781     0.1%
      732:        11754     0.1%
      731:        11793     0.1%
      730:        11931     0.1%
      729:        11987     0.1%
      728:        11928     0.1%
      727:        12020     0.1%
      726:        12184     0.1%
      725:        11998     0.2%
      724:        12184     0.2%
      723:        12210     0.2%
      722:        12301     0.2%
      721:        12028     0.2%
      720:        12313     0.2%
      719:        12411     0.2%
      718:        12555     0.2%
      717:        12619     0.2%
      716:        12317     0.2%
      715:        12606     0.2%
      714:        12601     0.2%
      713:        12893     0.2%
      712:        12668     0.2%
      711:        12603     0.2%
      710:        12704     0.2%
      709:        12957     0.2%
      708:        12867     0.2%
      707:        13026     0.2%
      706:        12933     0.2%
      705:        13046     0.2%
      704:        13065     0.2%
      703:        12990     0.2%
      702:        13077     0.2%
      701:        13127     0.2%
      700:        13463     0.2%
      699:        13278     0.2%
      698:        13462     0.2%
      697:        13436     0.2%
      696:        13511     0.2%
      695:        13855     0.2%
      694:        13489     0.2%
      693:        13791     0.2%
      692:        13809     0.2%
      691:        13808     0.2%
      690:        13722     0.2%
      689:        13977     0.2%
      688:        13894     0.2%
      687:        13850     0.2%
      686:        13884     0.2%
      685:        13858     0.2%
      684:        13689     0.2%
      683:        14003     0.2%
      682:        14109     0.2%
      681:        14225     0.2%
      680:        14370     0.2%
      679:        14492     0.2%
      678:        14387     0.2%
      677:        14393     0.2%
      676:        14452     0.2%
      675:        14556     0.2%
      674:        14882     0.2%
      673:        14351     0.2%
      672:        14814     0.2%
      671:        14722     0.2%
      670:        14820     0.2%
      669:        15076     0.2%
      668:        15028     0.2%
      667:        15065     0.2%
      666:        15078     0.2%
      665:        15162     0.2%
      664:        15260     0.2%
      663:        15208     0.2%
      662:        15427     0.2%
      661:        15212     0.2%
      660:        15362     0.2%
      659:        15503     0.2%
      658:        15434     0.2%
      657:        15507     0.2%
      656:        15595     0.2%
      655:        15886     0.2%
      654:        15856     0.2%
      653:        15772     0.2%
      652:        15893     0.2%
      651:        16075     0.2%
      650:        16254     0.2%
      649:        16108     0.2%
      648:        16148     0.2%
      647:        16377     0.2%
      646:        16192     0.2%
      645:        16303     0.2%
      644:        16429     0.2%
      643:        16516     0.2%
      642:        16508     0.2%
      641:        16389     0.2%
      640:        16966     0.2%
      639:        16570     0.2%
      638:        16591     0.2%
      637:        16447     0.2%
      636:        16706     0.2%
      635:        16917     0.2%
      634:        16670     0.2%
      633:        16705     0.2%
      632:        16885     0.2%
      631:        16870     0.2%
      630:        16943     0.2%
      629:        16857     0.2%
      628:        16983     0.2%
      627:        17001     0.2%
      626:        17188     0.2%
      625:        17310     0.2%
      624:        17322     0.2%
      623:        17429     0.2%
      622:        17673     0.2%
      621:        17671     0.2%
      620:        17599     0.2%
      619:        17599     0.2%
      618:        17764     0.2%
      617:        17982     0.2%
      616:        17975     0.2%
      615:        18059     0.2%
      614:        17692     0.2%
      613:        18122     0.2%
      612:        18407     0.2%
      611:        18300     0.2%
      610:        18424     0.2%
      609:        18443     0.2%
      608:        18387     0.2%
      607:        18714     0.2%
      606:        18778     0.2%
      605:        18829     0.2%
      604:        18913     0.2%
      603:        19129     0.2%
      602:        19064     0.2%
      601:        19068     0.2%
      600:        19102     0.2%
      599:        19335     0.2%
      598:        19338     0.2%
      597:        19331     0.2%
      596:        19494     0.2%
      595:        19319     0.2%
      594:        19635     0.2%
      593:        19761     0.2%
      592:        19676     0.2%
      591:        19617     0.2%
      590:        19698     0.2%
      589:        20026     0.2%
      588:        20171     0.2%
      587:        20180     0.2%
      586:        20562     0.2%
      585:        20427     0.2%
