
Histogram of unique 21-mers of drMalDome58_m64016e_210808_072016.filtered

  Input: 769,768,632 unique 21-mers

     Freq:        Count   Cum. %
 >=  1000:       571450     0.1%
      999:          455     0.1%
      998:          474     0.1%
      997:          444     0.1%
      996:          477     0.1%
      995:          485     0.1%
      994:          497     0.1%
      993:          472     0.1%
      992:          484     0.1%
      991:          493     0.1%
      990:          498     0.1%
      989:          461     0.1%
      988:          455     0.1%
      987:          445     0.1%
      986:          459     0.1%
      985:          438     0.1%
      984:          520     0.1%
      983:          526     0.1%
      982:          523     0.1%
      981:          463     0.1%
      980:          440     0.1%
      979:          458     0.1%
      978:          460     0.1%
      977:          470     0.1%
      976:          504     0.1%
      975:          504     0.1%
      974:          445     0.1%
      973:          511     0.1%
      972:          495     0.1%
      971:          495     0.1%
      970:          458     0.1%
      969:          464     0.1%
      968:          470     0.1%
      967:          478     0.1%
      966:          493     0.1%
      965:          496     0.1%
      964:          470     0.1%
      963:          505     0.1%
      962:          484     0.1%
      961:          514     0.1%
      960:          511     0.1%
      959:          489     0.1%
      958:          532     0.1%
      957:          472     0.1%
      956:          490     0.1%
      955:          478     0.1%
      954:          492     0.1%
      953:          489     0.1%
      952:          486     0.1%
      951:          505     0.1%
      950:          535     0.1%
      949:          471     0.1%
      948:          503     0.1%
      947:          506     0.1%
      946:          424     0.1%
      945:          520     0.1%
      944:          513     0.1%
      943:          531     0.1%
      942:          512     0.1%
      941:          523     0.1%
      940:          471     0.1%
      939:          536     0.1%
      938:          519     0.1%
      937:          502     0.1%
      936:          493     0.1%
      935:          494     0.1%
      934:          500     0.1%
      933:          470     0.1%
      932:          484     0.1%
      931:          503     0.1%
      930:          486     0.1%
      929:          509     0.1%
      928:          488     0.1%
      927:          544     0.1%
      926:          505     0.1%
      925:          517     0.1%
      924:          506     0.1%
      923:          557     0.1%
      922:          522     0.1%
      921:          518     0.1%
      920:          518     0.1%
      919:          550     0.1%
      918:          500     0.1%
      917:          575     0.1%
      916:          555     0.1%
      915:          589     0.1%
      914:          522     0.1%
      913:          538     0.1%
      912:          554     0.1%
      911:          556     0.1%
      910:          540     0.1%
      909:          565     0.1%
      908:          543     0.1%
      907:          553     0.1%
      906:          511     0.1%
      905:          545     0.1%
      904:          586     0.1%
      903:          612     0.1%
      902:          546     0.1%
      901:          535     0.1%
      900:          547     0.1%
      899:          512     0.1%
      898:          564     0.1%
      897:          545     0.1%
      896:          564     0.1%
      895:          576     0.1%
      894:          620     0.1%
      893:          528     0.1%
      892:          550     0.1%
      891:          597     0.1%
      890:          569     0.1%
      889:          573     0.1%
      888:          603     0.1%
      887:          552     0.1%
      886:          579     0.1%
      885:          541     0.1%
      884:          587     0.1%
      883:          583     0.1%
      882:          584     0.1%
      881:          566     0.1%
      880:          565     0.1%
      879:          567     0.1%
      878:          604     0.1%
      877:          582     0.1%
      876:          571     0.1%
      875:          605     0.1%
      874:          603     0.1%
      873:          601     0.1%
      872:          601     0.1%
      871:          617     0.1%
      870:          568     0.1%
      869:          628     0.1%
      868:          630     0.1%
      867:          617     0.1%
      866:          615     0.1%
      865:          630     0.1%
      864:          658     0.1%
      863:          625     0.1%
      862:          575     0.1%
      861:          596     0.1%
      860:          603     0.1%
      859:          631     0.1%
      858:          617     0.1%
      857:          628     0.1%
      856:          652     0.1%
      855:          620     0.1%
      854:          619     0.1%
      853:          654     0.1%
      852:          661     0.1%
      851:          635     0.1%
      850:          664     0.1%
      849:          640     0.1%
      848:          681     0.1%
      847:          610     0.1%
      846:          645     0.1%
      845:          729     0.1%
      844:          628     0.1%
      843:          618     0.1%
      842:          638     0.1%
      841:          610     0.1%
      840:          632     0.1%
      839:          596     0.1%
      838:          673     0.1%
      837:          652     0.1%
      836:          638     0.1%
      835:          660     0.1%
      834:          727     0.1%
      833:          638     0.1%
      832:          671     0.1%
      831:          645     0.1%
      830:          678     0.1%
      829:          724     0.1%
      828:          726     0.1%
      827:          699     0.1%
      826:          662     0.1%
      825:          639     0.1%
      824:          692     0.1%
      823:          674     0.1%
      822:          702     0.1%
      821:          715     0.1%
      820:          649     0.1%
      819:          681     0.1%
      818:          728     0.1%
      817:          621     0.1%
      816:          649     0.1%
      815:          677     0.1%
      814:          697     0.1%
      813:          708     0.1%
      812:          682     0.1%
      811:          711     0.1%
      810:          662     0.1%
      809:          666     0.1%
      808:          714     0.1%
      807:          722     0.1%
      806:          700     0.1%
      805:          739     0.1%
      804:          718     0.1%
      803:          793     0.1%
      802:          770     0.1%
      801:          730     0.1%
      800:          791     0.1%
      799:          758     0.1%
      798:          760     0.1%
      797:          772     0.1%
      796:          745     0.1%
      795:          770     0.1%
      794:          735     0.1%
      793:          749     0.1%
      792:          746     0.1%
      791:          737     0.1%
      790:          758     0.1%
      789:          695     0.1%
      788:          801     0.1%
      787:          734     0.1%
      786:          737     0.1%
      785:          789     0.1%
      784:          835     0.1%
      783:          778     0.1%
      782:          755     0.1%
      781:          760     0.1%
      780:          804     0.1%
      779:          711     0.1%
      778:          777     0.1%
      777:          762     0.1%
      776:          747     0.1%
      775:          842     0.1%
      774:          812     0.1%
      773:          844     0.1%
      772:          806     0.1%
      771:          763     0.1%
      770:          778     0.1%
      769:          781     0.1%
      768:          796     0.1%
      767:          783     0.1%
      766:          785     0.1%
      765:          794     0.1%
      764:          867     0.1%
      763:          808     0.1%
      762:          780     0.1%
      761:          826     0.1%
      760:          808     0.1%
      759:          800     0.1%
      758:          767     0.1%
      757:          735     0.1%
      756:          821     0.1%
      755:          795     0.1%
      754:          813     0.1%
      753:          806     0.1%
      752:          786     0.1%
      751:          772     0.1%
      750:          790     0.1%
      749:          791     0.1%
      748:          867     0.1%
      747:          879     0.1%
      746:          823     0.1%
      745:          836     0.1%
      744:          883     0.1%
      743:          878     0.1%
      742:          834     0.1%
      741:          794     0.1%
      740:          801     0.1%
      739:          774     0.1%
      738:          860     0.1%
      737:          846     0.1%
      736:          846     0.1%
      735:          758     0.1%
      734:          793     0.1%
      733:          858     0.1%
      732:          869     0.1%
      731:          839     0.1%
      730:          823     0.1%
      729:          903     0.1%
      728:          817     0.1%
      727:          847     0.1%
      726:          871     0.1%
      725:          886     0.1%
      724:          906     0.1%
      723:          877     0.1%
      722:          892     0.1%
      721:          848     0.1%
      720:          861     0.1%
      719:          898     0.1%
      718:          843     0.1%
      717:          867     0.1%
      716:          838     0.1%
      715:          850     0.1%
      714:          861     0.1%
      713:          939     0.1%
      712:          872     0.1%
      711:          954     0.1%
      710:          925     0.1%
      709:          902     0.1%
      708:          867     0.1%
      707:          953     0.1%
      706:          954     0.1%
      705:          933     0.1%
      704:          940     0.1%
      703:          968     0.1%
      702:          929     0.1%
      701:          904     0.1%
      700:          952     0.1%
      699:          962     0.1%
      698:          959     0.1%
      697:          890     0.1%
      696:          913     0.1%
      695:          921     0.1%
      694:          935     0.1%
      693:          944     0.1%
      692:          936     0.1%
      691:          906     0.1%
      690:          964     0.1%
      689:          970     0.1%
      688:          933     0.1%
      687:          939     0.1%
      686:          936     0.1%
      685:          979     0.1%
      684:          956     0.1%
      683:          946     0.1%
      682:          942     0.1%
      681:          988     0.1%
      680:          971     0.1%
      679:         1005     0.1%
      678:         1022     0.1%
      677:         1057     0.1%
      676:          997     0.1%
      675:          965     0.1%
      674:         1041     0.1%
      673:         1020     0.1%
      672:         1020     0.1%
      671:         1019     0.1%
      670:         1025     0.1%
      669:         1021     0.1%
      668:         1032     0.1%
      667:         1054     0.1%
      666:         1049     0.1%
      665:         1032     0.1%
      664:         1044     0.1%
      663:         1061     0.1%
      662:         1061     0.1%
      661:         1001     0.1%
      660:         1082     0.1%
      659:         1019     0.1%
      658:         1005     0.1%
      657:         1034     0.1%
      656:          995     0.1%
      655:         1145     0.1%
      654:         1069     0.1%
      653:         1083     0.1%
      652:         1083     0.1%
      651:         1126     0.1%
      650:         1068     0.1%
      649:         1100     0.1%
      648:         1160     0.1%
      647:         1105     0.1%
      646:         1059     0.1%
      645:         1073     0.1%
      644:         1060     0.1%
      643:         1153     0.1%
      642:         1111     0.1%
      641:         1151     0.1%
      640:         1080     0.1%
      639:         1136     0.1%
      638:         1144     0.1%
      637:         1200     0.1%
      636:         1260     0.1%
      635:         1156     0.1%
      634:         1255     0.1%
      633:         1061     0.1%
      632:         1207     0.1%
      631:         1154     0.1%
      630:         1189     0.1%
      629:         1158     0.1%
      628:         1221     0.1%
      627:         1211     0.1%
      626:         1177     0.1%
      625:         1241     0.1%
      624:         1176     0.1%
      623:         1159     0.1%
      622:         1229     0.1%
      621:         1223     0.1%
      620:         1169     0.1%
      619:         1229     0.1%
      618:         1232     0.1%
      617:         1246     0.1%
      616:         1297     0.1%
      615:         1235     0.1%
      614:         1199     0.1%
      613:         1264     0.1%
      612:         1261     0.1%
      611:         1302     0.1%
      610:         1272     0.1%
      609:         1276     0.1%
      608:         1330     0.1%
      607:         1299     0.1%
      606:         1266     0.1%
      605:         1282     0.1%
      604:         1341     0.1%
      603:         1304     0.1%
      602:         1326     0.1%
      601:         1346     0.1%
      600:         1345     0.1%
      599:         1359     0.1%
      598:         1332     0.1%
      597:         1376     0.1%
      596:         1353     0.1%
      595:         1359     0.1%
      594:         1374     0.1%
      593:         1346     0.1%
      592:         1402     0.1%
      591:         1463     0.1%
      590:         1474     0.1%
      589:         1497     0.1%
      588:         1369     0.1%
      587:         1434     0.1%
      586:         1498     0.1%
      585:         1384     0.1%
      584:         1452     0.1%
      583:         1402     0.1%
      582:         1442     0.1%
      581:         1523     0.1%
      580:         1555     0.1%
      579:         1438     0.1%
      578:         1428     0.1%
      577:         1518     0.1%
      576:         1485     0.1%
      575:         1521     0.1%
      574:         1538     0.1%
      573:         1531     0.1%
      572:         1518     0.1%
      571:         1503     0.1%
      570:         1560     0.1%
      569:         1524     0.1%
      568:         1538     0.1%
      567:         1451     0.1%
      566:         1493     0.1%
      565:         1539     0.1%
      564:         1627     0.1%
      563:         1574     0.1%
      562:         1473     0.1%
      561:         1547     0.1%
      560:         1598     0.1%
      559:         1523     0.1%
      558:         1539     0.1%
      557:         1535     0.1%
      556:         1573     0.1%
      555:         1483     0.1%
      554:         1597     0.1%
      553:         1535     0.1%
      552:         1536     0.1%
      551:         1697     0.1%
      550:         1635     0.1%
      549:         1597     0.1%
      548:         1612     0.1%
      547:         1646     0.1%
      546:         1648     0.1%
      545:         1710     0.1%
      544:         1704     0.1%
      543:         1693     0.1%
      542:         1711     0.1%
      541:         1726     0.1%
      540:         1704     0.1%
      539:         1682     0.1%
      538:         1727     0.1%
      537:         1841     0.1%
      536:         1727     0.1%
      535:         1759     0.1%
      534:         1882     0.1%
      533:         1792     0.1%
      532:         1644     0.1%
      531:         1769     0.1%
      530:         1794     0.1%
      529:         1854     0.1%
      528:         1856     0.1%
      527:         1852     0.1%
      526:         1880     0.1%
      525:         1847     0.1%
      524:         1943     0.1%
      523:         1994     0.1%
      522:         1887     0.1%
      521:         1945     0.1%
      520:         1894     0.1%
      519:         1897     0.1%
      518:         1959     0.1%
      517:         1931     0.1%
      516:         1932     0.1%
      515:         1930     0.1%
      514:         1889     0.1%
      513:         1959     0.1%
      512:         1855     0.1%
      511:         1890     0.1%
      510:         1897     0.1%
      509:         1906     0.1%
      508:         1786     0.1%
      507:         1908     0.1%
      506:         1840     0.1%
      505:         1893     0.1%
      504:         1778     0.1%
      503:         1834     0.1%
      502:         1885     0.1%
      501:         1906     0.1%
      500:         1895     0.1%
