source	specimen	id	read_pairs	yield	n50	kmer	haploid	repeat	het	apple_sp
illumina	drMalDome28	39617#31	360394726	54419603626	0	21	682683166	53.22	1.27	Malus_domestica
illumina	drMalDome28	39617#31	360394726	54419603626	0	31	678007403	43.02	1.17	Malus_domestica
illumina	drMalDome41	39617#19	324055142	48932326442	0	31	681730833	42.98	1.17	Malus_domestica
illumina	drMalDome41	39617#19	324055142	48932326442	0	21	685570614	53.34	1.27	Malus_domestica
illumina	drMalDome41	39617#19	324055142	48932326442	0	31	680635153	43.2	1.18	Malus_domestica
illumina	drMalDome13	39617#42	345833368	52220838568	0	31	657976067	41.78	1.35	Malus_domestica
illumina	drMalDome13	39617#42	345833368	52220838568	0	21	661052400	52.22	1.45	Malus_domestica
illumina	drMalDome13	39617#42	345833368	52220838568	0	31	655465658	41.89	1.35	Malus_domestica
hic-arima2	drMalDome11					31	984187432	44.33	0.21	Malus_domestica
10x	drMalDome11					31	705501348	44.68	1.38	Malus_domestica
10x	drMalDome11					21	720564663	55.44	1.48	Malus_domestica
10x	drMalDome11					31	714927771	46.29	1.39	Malus_domestica
pacbio	drMalDome11	84821	0	18704812420	15657	31	676639167	41.7	1.26	Malus_domestica
pacbio	drMalDome11	85267	0	10976172147	15256	31	676639167	41.7	1.26	Malus_domestica
pacbio	drMalDome11	84821	0	18704812420	15657	21	676099820	52.44	1.36	Malus_domestica
pacbio	drMalDome11	85267	0	10976172147	15256	21	676099820	52.44	1.36	Malus_domestica
pacbio	drMalDome11	84821	0	18704812420	15657	31	675518651	42.11	1.26	Malus_domestica
pacbio	drMalDome11	85267	0	10976172147	15256	31	675518651	42.11	1.26	Malus_domestica
hic-arima2	drMalDome10					31	505799748	58.44	21.43	Malus_domestica
10x	drMalDome10					31	707212966	44.34	1.41	Malus_domestica
10x	drMalDome10					21	726052657	55.53	1.48	Malus_domestica
10x	drMalDome10					31	722521946	46.54	1.4	Malus_domestica
pacbio	drMalDome10	84821	0	12418180331	15568	31	684472688	42.43	1.28	Malus_domestica
pacbio	drMalDome10	85268	0	9405950743	14893	31	684472688	42.43	1.28	Malus_domestica
pacbio	drMalDome10	84821	0	12418180331	15568	21	684006310	53	1.37	Malus_domestica
pacbio	drMalDome10	85268	0	9405950743	14893	21	684006310	53	1.37	Malus_domestica
pacbio	drMalDome10	84821	0	12418180331	15568	31	683540670	42.96	1.29	Malus_domestica
pacbio	drMalDome10	85268	0	9405950743	14893	31	683540670	42.96	1.29	Malus_domestica
illumina	drMalDome1	39617#4	593625876	89637507276	0	31	-1	0	-100	Malus_domestica
illumina	drMalDome1	39617#4	593625876	89637507276	0	21	-1	0	-100	Malus_domestica
illumina	drMalDome1	39617#4	593625876	89637507276	0	31	685846506	40.39	0.93	Malus_domestica
illumina	drMalDome43	39617#16	398555114	60181822214	0	31	684523176	43.23	1.14	Malus_domestica
illumina	drMalDome43	39617#16	398555114	60181822214	0	21	687294251	53.47	1.24	Malus_domestica
illumina	drMalDome43	39617#16	398555114	60181822214	0	31	682692811	43.25	1.15	Malus_domestica
illumina	drMalDome20	39617#38	358420828	54121545028	0	31	658047042	41.09	1.18	Malus_domestica
illumina	drMalDome20	39617#38	358420828	54121545028	0	21	660697159	51.73	1.28	Malus_domestica
illumina	drMalDome20	39617#38	358420828	54121545028	0	31	656084718	41.17	1.18	Malus_domestica
illumina	drMalDome22	39617#36	284668122	42984886422	0	31	673737732	41.36	0.83	Malus_domestica
illumina	drMalDome22	39617#36	284668122	42984886422	0	21	678140929	52.24	0.89	Malus_domestica
illumina	drMalDome22	39617#36	284668122	42984886422	0	31	673628321	43.16	0.9	Malus_domestica
illumina	drMalDome57	39617#48	770383130	116327852630	0	31	-1	0	-100	Malus_domestica
illumina	drMalDome57	39617#48	770383130	116327852630	0	21	-1	0	-100	Malus_domestica
illumina	drMalDome57	39617#48	770383130	116327852630	0	31	647414715	37.98	0.82	Malus_domestica
hic-arima2	drMalDome58					31	865044875	98.31	3.41	Malus_domestica
10x	drMalDome58					31	-1	0	-100	Malus_domestica
10x	drMalDome58					21	1436956645	92.09	0.83	Malus_domestica
10x	drMalDome58					31	768305595	46.5	1.54	Malus_domestica
pacbio	drMalDome58	84821	0	8830973872	15866	31	-1	0	-100	Malus_domestica
pacbio	drMalDome58	85267	0	9376193584	15092	31	-1	0	-100	Malus_domestica
pacbio	drMalDome58	84821	0	8830973872	15866	21	-1	0	-100	Malus_domestica
pacbio	drMalDome58	85267	0	9376193584	15092	21	-1	0	-100	Malus_domestica
pacbio	drMalDome58	84821	0	8830973872	15866	31	682387244	43.57	1.87	Malus_domestica
pacbio	drMalDome58	85267	0	9376193584	15092	31	682387244	43.57	1.87	Malus_domestica
illumina	drMalDome24	39617#35	303485552	45826318352	0	31	711687822	45.43	1.17	Malus_domestica
illumina	drMalDome24	39617#35	303485552	45826318352	0	21	716096750	55.28	1.28	Malus_domestica
illumina	drMalDome24	39617#35	303485552	45826318352	0	31	710839985	45.72	1.18	Malus_domestica
illumina	drMalDome16	39617#45	365147768	55137312968	0	31	650698696	40.98	1.31	Malus_domestica
illumina	drMalDome16	39617#45	365147768	55137312968	0	21	654895509	51.66	1.43	Malus_domestica
illumina	drMalDome16	39617#45	365147768	55137312968	0	31	648792333	41.06	1.31	Malus_domestica
illumina	drMalDome25	39617#34	270935826	40911309726	0	31	692451102	44.23	1.24	Malus_domestica
illumina	drMalDome25	39617#34	270935826	40911309726	0	21	698410887	54.33	1.36	Malus_domestica
illumina	drMalDome25	39617#34	270935826	40911309726	0	31	691746682	44.61	1.25	Malus_domestica
illumina	drMalDome7	39617#12	344665216	52044447616	0	31	649709840	38.85	0.81	Malus_domestica
illumina	drMalDome7	39617#12	344665216	52044447616	0	21	1006397881	113.18	5.38	Malus_domestica
illumina	drMalDome7	39617#12	344665216	52044447616	0	31	647211059	40.34	0.85	Malus_domestica
illumina	drMalDome4	39617#1	282525790	42661394290	0	31	690180870	43.86	1.12	Malus_domestica
illumina	drMalDome4	39617#1	282525790	42661394290	0	21	694468372	54	1.22	Malus_domestica
illumina	drMalDome4	39617#1	282525790	42661394290	0	31	689464607	44.12	1.12	Malus_domestica
illumina	drMalDome45	39617#14	373892492	56457766292	0	31	693256456	43.98	1.23	Malus_domestica
illumina	drMalDome45	39617#14	373892492	56457766292	0	21	696478915	54.11	1.33	Malus_domestica
illumina	drMalDome45	39617#14	373892492	56457766292	0	31	691806068	44.15	1.24	Malus_domestica
illumina	drMalDome8	39617#11	354959876	53598941276	0	31	653858568	42.7	2.51	Malus_domestica
illumina	drMalDome8	39617#11	354959876	53598941276	0	21	655606440	53.16	2.64	Malus_domestica
illumina	drMalDome8	39617#11	354959876	53598941276	0	31	648745926	43.83	2.5	Malus_domestica
illumina	drMalDome3	39617#2	657884484	99340557084	0	31	1078118134	84.74	1.34	Malus_domestica
illumina	drMalDome3	39617#2	657884484	99340557084	0	21	-1	0	-100	Malus_domestica
illumina	drMalDome3	39617#2	657884484	99340557084	0	31	681372916	40.64	0.94	Malus_domestica
illumina	drMalDome27	39617#32	373484916	56396222316	0	31	687366841	43.48	1.15	Malus_domestica
illumina	drMalDome27	39617#32	373484916	56396222316	0	21	690039487	53.69	1.25	Malus_domestica
illumina	drMalDome27	39617#32	373484916	56396222316	0	31	685727640	43.54	1.16	Malus_domestica
illumina	drMalDome38	39617#22	340232722	51375141022	0	31	682363233	43.21	1.2	Malus_domestica
illumina	drMalDome38	39617#22	340232722	51375141022	0	21	686400444	53.5	1.31	Malus_domestica
illumina	drMalDome38	39617#22	340232722	51375141022	0	31	681250341	43.37	1.21	Malus_domestica
illumina	drMalDome15	39617#46	782990442	118231556742	0	31	1009615141	83.6	1.37	Malus_domestica
illumina	drMalDome15	39617#46	782990442	118231556742	0	21	-1	0	-100	Malus_domestica
illumina	drMalDome15	39617#46	782990442	118231556742	0	31	649133421	36.94	0.93	Malus_domestica
illumina	drMalDome29	39617#30	360919358	54498823058	0	31	693675736	43.99	1.25	Malus_domestica
